source,filename,reason
data_uncleaned\2026-05-05\btc-updown-5m-1777149300.csv,btc-updown-5m-1777149300.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777149900.csv,btc-updown-5m-1777149900.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777150200.csv,btc-updown-5m-1777150200.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777150500.csv,btc-updown-5m-1777150500.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777150800.csv,btc-updown-5m-1777150800.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777151100.csv,btc-updown-5m-1777151100.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777151400.csv,btc-updown-5m-1777151400.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777151700.csv,btc-updown-5m-1777151700.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777152000.csv,btc-updown-5m-1777152000.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777152300.csv,btc-updown-5m-1777152300.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777152600.csv,btc-updown-5m-1777152600.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777152900.csv,btc-updown-5m-1777152900.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777153200.csv,btc-updown-5m-1777153200.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777153500.csv,btc-updown-5m-1777153500.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777153800.csv,btc-updown-5m-1777153800.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777154400.csv,btc-updown-5m-1777154400.csv,"missing required columns: ['btc_binance', 'btc_chainlink', 'down_price', 'elapsed', 'price_to_beat', 'seconds_left', 'timestamp', 'unix_time', 'up_price']"
data_uncleaned\2026-05-05\btc-updown-5m-1777155000.csv,btc-updown-5m-1777155000.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777155300.csv,btc-updown-5m-1777155300.csv,"missing required columns: ['elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777155600.csv,btc-updown-5m-1777155600.csv,"missing required columns: ['down_price', 'elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777155900.csv,btc-updown-5m-1777155900.csv,"missing required columns: ['down_price', 'elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777156200.csv,btc-updown-5m-1777156200.csv,"missing required columns: ['down_price', 'elapsed', 'unix_time']"
