timestamp,unix_time,seconds_left,elapsed,time_fraction_elapsed,up_price,down_price,up_minus_down,up_price_change_0_5s,up_price_change_1s,up_price_change_5s,up_price_change_15s,up_price_change_30s,down_price_change_0_5s,down_price_change_1s,down_price_change_5s,down_price_change_15s,down_price_change_30s,btc_binance,btc_chainlink,btc_price,btc_return_0_5s,btc_return_1s,btc_return_5s,btc_return_15s,btc_return_30s,btc_return_60s,btc_volatility_5s,btc_volatility_15s,btc_volatility_30s,btc_volatility_60s,price_to_beat,btc_distance_to_beat,btc_distance_to_beat_pct,btc_above_price_to_beat,direction_signal,market_confidence_gap,abs_market_confidence_gap
03:05:03.711,1777687503.712,296.29,3.71,0.0123666666666667,0.37,0.63,-0.26,0,0,,,,0,0,,,,78327.2,78327.3575480055,78327.3575480055,1.44486939518381e-05,1.44486939518381e-05,,,,,5.65275673191464e-06,5.65275673191464e-06,5.65275673191464e-06,5.65275673191464e-06,78326.2326052099,1.12494279560633,1.43622737643519e-05,1,1,0.63,0.63
03:05:03.920,1777687503.92,296.08,3.92,0.0130666666666667,0.37,0.63,-0.26,0,0,,,,0,0,,,,78327.2,78327.3575480055,78327.3575480055,0,1.44486939518381e-05,,,,,5.47816333270686e-06,5.47816333270686e-06,5.47816333270686e-06,5.47816333270686e-06,78326.2326052099,1.12494279560633,1.43622737643519e-05,1,1,0.63,0.63
03:05:04.139,1777687504.139,295.86,4.14,0.0138,0.37,0.63,-0.26,0,0,,,,0,0,,,,78327.2,78327.3575480055,78327.3575480055,0,1.44486939518381e-05,,,,,5.31879439441528e-06,5.31879439441528e-06,5.31879439441528e-06,5.31879439441528e-06,78326.2326052099,1.12494279560633,1.43622737643519e-05,1,1,0.63,0.63
03:05:04.356,1777687504.357,295.64,4.36,0.0145333333333333,0.37,0.63,-0.26,0,0,,,,0,0,,,,78327.21,78327.5766825406,78327.5766825406,2.79767557545591e-06,2.79767557545591e-06,,,,,5.18825825502127e-06,5.18825825502127e-06,5.18825825502127e-06,5.18825825502127e-06,78326.2326052099,1.34407733070839,1.71599895207903e-05,1,1,0.63,0.63
03:05:04.588,1777687504.589,295.41,4.59,0.0153,0.38,0.62,-0.24,0.01,0.01,,,,-0.01,-0.01,,,,78327.21,78327.5766825406,78327.5766825406,2.79767557545591e-06,2.79767557545591e-06,,,,,5.05436469434971e-06,5.05436469434971e-06,5.05436469434971e-06,5.05436469434971e-06,78326.2326052099,1.34407733070839,1.71599895207903e-05,1,1,0.62,0.62
03:05:04.806,1777687504.807,295.19,4.81,0.0160333333333333,0.38,0.62,-0.24,0.01,0.01,,,,-0.01,-0.01,,,,78327.21,78327.5766825406,78327.5766825406,2.79767557545591e-06,2.79767557545591e-06,,,,,4.93031624064343e-06,4.93031624064343e-06,4.93031624064343e-06,4.93031624064343e-06,78326.2326052099,1.34407733070839,1.71599895207903e-05,1,1,0.62,0.62
03:05:05.039,1777687505.038,294.96,5.04,0.0168,0.38,0.62,-0.24,0.01,0.01,,,,-0.01,-0.01,,,,78327.21,78327.5766825406,78327.5766825406,0,2.79767557545591e-06,,,,,4.81496417829687e-06,4.81496417829687e-06,4.81496417829687e-06,4.81496417829687e-06,78326.2326052099,1.34407733070839,1.71599895207903e-05,1,1,0.62,0.62
03:05:05.258,1777687505.259,294.74,5.26,0.0175333333333333,0.38,0.62,-0.24,0,0.01,,,,0,-0.01,,,,78327.21,78327.5766825406,78327.5766825406,0,2.79767557545591e-06,,,,,4.70733885023782e-06,4.70733885023782e-06,4.70733885023782e-06,4.70733885023782e-06,78326.2326052099,1.34407733070839,1.71599895207903e-05,1,1,0.62,0.62
03:05:05.486,1777687505.486,294.51,5.49,0.0183,0.38,0.62,-0.24,0,0.01,0.01,,,0,-0.01,-0.01,,,78327.21,78327.5766825406,78327.5766825406,0,0,1.71599895207903e-05,,,,4.70733885023782e-06,4.60661534353988e-06,4.60661534353988e-06,4.60661534353988e-06,78326.2326052099,1.34407733070839,1.71599895207903e-05,1,1,0.62,0.62
03:05:05.671,1777687505.671,294.33,5.67,0.0189,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.21,78327.5766825406,78327.5766825406,0,0,1.71599895207903e-05,,,,4.70733885023782e-06,4.51208687479213e-06,4.51208687479213e-06,4.51208687479213e-06,78326.2326052099,1.34407733070839,1.71599895207903e-05,1,1,0.62,0.62
