time_fraction_elapsed,up_price,up_price_change_0_5s,up_price_change_1s,up_price_change_5s,up_price_change_15s,up_price_change_30s,btc_return_0_5s,btc_return_1s,btc_return_5s,btc_return_15s,btc_return_30s,btc_return_60s,btc_volatility_5s,btc_volatility_15s,btc_volatility_30s,btc_volatility_60s,btc_distance_to_beat_pct,market_confidence_gap
0.0013,0.45,,,,,,,,,,,,0,0,0,0,,
0.00206666666666667,0.45,,,,,,,,,,,,0,0,0,0,,
0.0027,0.45,,,,,,,,,,,,0,0,0,0,,
0.0034,0.45,0,,,,,,,,,,,0,0,0,0,,
0.00413333333333333,0.45,0,,,,,,,,,,,0,0,0,0,,
0.0048,0.45,0,0,,,,,,,,,,0,0,0,0,,
0.00546666666666667,0.45,0,0,,,,,,,,,,0,0,0,0,0,-0.45
0.00623333333333333,0.45,0,0,,,,,,,,,,0,0,0,0,0,-0.45
0.0069,0.45,0,0,,,,,,,,,,0,0,0,0,0,-0.45
0.00763333333333333,0.45,0,0,,,,0,,,,,,0,0,0,0,0,-0.45
0.00836666666666667,0.45,0,0,,,,0,,,,,,0,0,0,0,0,-0.45
0.0091,0.45,0,0,,,,0,0,,,,,0,0,0,0,0,-0.45
0.00976666666666667,0.45,0,0,,,,-6.17717763880146e-08,-6.17717763880146e-08,,,,,2.30209818490862e-08,2.30209818490862e-08,2.30209818490862e-08,2.30209818490862e-08,-6.17717763880146e-08,-0.45
0.0104333333333333,0.45,0,0,,,,-6.17717763880146e-08,-6.17717763880146e-08,,,,,2.16156189508483e-08,2.16156189508483e-08,2.16156189508483e-08,2.16156189508483e-08,-6.17717763880146e-08,-0.45
0.0111333333333333,0.45,0,0,,,,-6.17717763880146e-08,-6.17717763880146e-08,,,,,2.04290947956723e-08,2.04290947956723e-08,2.04290947956723e-08,2.04290947956723e-08,-6.17717763880146e-08,-0.45
0.0129333333333333,0.43,-0.02,-0.02,,,,-1.74739455127129e-06,-1.80916621971964e-06,,,,,5.4706566773995e-07,5.4706566773995e-07,5.4706566773995e-07,5.4706566773995e-07,-1.80916621971964e-06,-0.43
0.0142333333333333,0.43,-0.02,-0.02,,,,-1.74739455127129e-06,-1.74739455127129e-06,,,,,5.22483989233843e-07,5.22483989233843e-07,5.22483989233843e-07,5.22483989233843e-07,-1.80916621971964e-06,-0.43
0.0152666666666667,0.43,0,-0.02,,,,-6.54430071584148e-06,-8.29168383163736e-06,,,,,1.89596225373475e-06,1.89596225373475e-06,1.89596225373475e-06,1.89596225373475e-06,-8.35345509583334e-06,-0.43
0.0161,0.43,0,-0.02,,,,-6.54430071584148e-06,-8.29168383163736e-06,,,,,1.8273396196299e-06,1.8273396196299e-06,1.8273396196299e-06,1.8273396196299e-06,-8.35345509583334e-06,-0.43
0.0167666666666667,0.43,0,0,,,,-6.54430071584148e-06,-6.54430071584148e-06,,,,,1.76542327364593e-06,1.76542327364593e-06,1.76542327364593e-06,1.76542327364593e-06,-8.35345509583334e-06,-0.43
0.0175,0.43,0,0,,,,0,-6.54430071584148e-06,,,,,1.70923458667284e-06,1.70923458667284e-06,1.70923458667284e-06,1.70923458667284e-06,-8.35345509583334e-06,-0.43
0.0182666666666667,0.42,-0.01,-0.01,-0.03,,,0,-6.54430071584148e-06,,,,,1.65797160985767e-06,1.65797160985767e-06,1.65797160985767e-06,1.65797160985767e-06,-8.35345509583334e-06,-0.42
0.0189666666666667,0.42,-0.01,-0.01,-0.03,,,0,0,,,,,1.61097407648303e-06,1.61097407648303e-06,1.61097407648303e-06,1.61097407648303e-06,-8.35345509583334e-06,-0.42
0.0196333333333333,0.44,0.01,0.01,-0.01,,,1.91737098797268e-06,1.91737098797268e-06,,,,,1.664945154037e-06,1.664945154037e-06,1.664945154037e-06,1.664945154037e-06,-6.43610012453311e-06,-0.44
0.0204,0.45,0.03,0.02,0,,,1.91737098797268e-06,1.91737098797268e-06,,,,,1.62035816665826e-06,1.62035816665826e-06,1.62035816665826e-06,1.62035816665826e-06,-6.43610012453311e-06,-0.45
0.0211666666666667,0.44,0.02,0.01,-0.01,,,1.91737098797268e-06,1.91737098797268e-06,,,,,1.57916052721701e-06,1.57916052721701e-06,1.57916052721701e-06,1.57916052721701e-06,-6.43610012453311e-06,-0.44
0.0219333333333333,0.44,0,0.02,-0.01,,,-9.16380075393513e-06,-7.24644733636816e-06,,,,,2.46342030589159e-06,2.46342030589159e-06,2.46342030589159e-06,2.46342030589159e-06,-1.55998418993291e-05,-0.44
0.0226666666666667,0.44,-0.01,0.02,-0.01,,,-9.16380075393513e-06,-7.24644733636816e-06,-1.55998418993291e-05,,,,2.46342030589159e-06,2.40978375808615e-06,2.40978375808615e-06,2.40978375808615e-06,-1.55998418993291e-05,-0.44
