time_fraction_elapsed,up_price,up_price_change_0_5s,up_price_change_1s,up_price_change_5s,up_price_change_15s,up_price_change_30s,btc_return_0_5s,btc_return_1s,btc_return_5s,btc_return_15s,btc_return_30s,btc_return_60s,btc_volatility_5s,btc_volatility_15s,btc_volatility_30s,btc_volatility_60s,btc_distance_to_beat_pct,market_confidence_gap
0.00126666666666667,0.61,,,,,,,,,,,,0,0,0,0,,
0.00203333333333333,0.61,,,,,,,,,,,,0,0,0,0,,
0.00286666666666667,0.61,,,,,,,,,,,,0,0,0,0,,
0.0037,0.61,0,,,,,,,,,,,0,0,0,0,,
0.00443333333333333,0.55,-0.0599999999999999,,,,,,,,,,,0,0,0,0,,
0.0054,0.55,-0.0599999999999999,-0.0599999999999999,,,,,,,,,,0,0,0,0,0,-0.55
0.00616666666666667,0.55,0,-0.0599999999999999,,,,,,,,,,0,0,0,0,0,-0.55
0.007,0.55,0,-0.0599999999999999,,,,,,,,,,0,0,0,0,0,-0.55
0.00773333333333333,0.55,0,-0.0599999999999999,,,,8.4472869075121e-07,,,,,,3.9820892366201e-07,3.9820892366201e-07,3.9820892366201e-07,3.9820892366201e-07,8.4472869075121e-07,0.45
0.00853333333333333,0.55,0,0,,,,8.4472869075121e-07,,,,,,3.65778252748059e-07,3.65778252748059e-07,3.65778252748059e-07,3.65778252748059e-07,8.4472869075121e-07,0.45
0.0093,0.55,0,0,,,,8.4472869075121e-07,8.4472869075121e-07,,,,,3.37891476300484e-07,3.37891476300484e-07,3.37891476300484e-07,3.37891476300484e-07,8.4472869075121e-07,0.45
0.0101,0.55,0,0,,,,0,8.4472869075121e-07,,,,,3.14811795844017e-07,3.14811795844017e-07,3.14811795844017e-07,3.14811795844017e-07,8.4472869075121e-07,0.45
0.0109,0.55,0,0,,,,0,8.4472869075121e-07,,,,,2.9559346620425e-07,2.9559346620425e-07,2.9559346620425e-07,2.9559346620425e-07,8.4472869075121e-07,0.45
0.0117333333333333,0.55,0,0,,,,-8.43874314583657e-05,-8.43874314583657e-05,,,,,2.79497970844302e-05,2.79497970844302e-05,2.79497970844302e-05,2.79497970844302e-05,-8.3542774052099e-05,-0.55
0.0125,0.55,0,0,,,,-8.43874314583657e-05,-8.43874314583657e-05,,,,,2.65549014811579e-05,2.65549014811579e-05,2.65549014811579e-05,2.65549014811579e-05,-8.3542774052099e-05,-0.55
0.0132666666666667,0.55,0,0,,,,-8.81897749552699e-05,-8.81897749552699e-05,,,,,2.52457740913904e-05,2.52457740913904e-05,2.52457740913904e-05,2.52457740913904e-05,-8.73451207609518e-05,-0.55
0.0140666666666667,0.55,0,0,,,,-3.80266439398506e-06,-8.81897749552699e-05,,,,,2.42015168158182e-05,2.42015168158182e-05,2.42015168158182e-05,2.42015168158182e-05,-8.73451207609518e-05,-0.55
0.0149,0.54,-0.01,-0.01,,,,-3.80266439398506e-06,-8.81897749552699e-05,,,,,2.32748874817875e-05,2.32748874817875e-05,2.32748874817875e-05,2.32748874817875e-05,-8.73451207609518e-05,-0.54
0.0156333333333333,0.54,-0.01,-0.01,,,,0,-3.80266439398506e-06,,,,,2.24457463163479e-05,2.24457463163479e-05,2.24457463163479e-05,2.24457463163479e-05,-8.73451207609518e-05,-0.54
0.0164666666666667,0.54,-0.01,-0.01,,,,0,-3.80266439398506e-06,,,,,2.16983682956701e-05,2.16983682956701e-05,2.16983682956701e-05,2.16983682956701e-05,-8.73451207609518e-05,-0.54
0.0172,0.54,0,-0.01,,,,0,0,,,,,2.10203047872316e-05,2.10203047872316e-05,2.10203047872316e-05,2.10203047872316e-05,-8.73451207609518e-05,-0.54
0.0179666666666667,0.54,0,-0.01,-0.07,,,0,0,,,,,2.04015725319267e-05,2.04015725319267e-05,2.04015725319267e-05,2.04015725319267e-05,-8.73451207609518e-05,-0.54
0.0187,0.54,0,0,-0.07,,,-2.02705811438665e-06,-2.02705811438665e-06,,,,,1.9808899557807e-05,1.9808899557807e-05,1.9808899557807e-05,1.9808899557807e-05,-8.93720018217027e-05,-0.54
0.0195333333333333,0.52,-0.02,-0.02,-0.09,,,-2.02705811438665e-06,-2.02705811438665e-06,,,,,1.92884180021708e-05,1.92884180021708e-05,1.92884180021708e-05,1.92884180021708e-05,-8.93720018217027e-05,-0.52
0.0203333333333333,0.53,-0.01,-0.01,-0.08,,,-1.68801395879615e-05,-1.68801395879615e-05,,,,,1.8903357303149e-05,1.8903357303149e-05,1.8903357303149e-05,1.8903357303149e-05,-0.000104223785951083,-0.53
0.0210333333333333,0.5,-0.04,-0.04,-0.11,,,-1.48531115816952e-05,-1.68801395879615e-05,,,,,1.84634614479361e-05,1.84634614479361e-05,1.84634614479361e-05,1.84634614479361e-05,-0.000104223785951083,-0.5
0.0217666666666667,0.5,-0.02,-0.04,-0.05,,,-1.48531115816952e-05,-1.68801395879615e-05,,,,,1.80526378092302e-05,1.80526378092302e-05,1.80526378092302e-05,1.80526378092302e-05,-0.000104223785951083,-0.5
0.0224666666666667,0.51,-0.02,-0.03,-0.04,,,0,-1.48531115816952e-05,-0.000104223785951083,,,,1.80526378092302e-05,1.76678512291424e-05,1.76678512291424e-05,1.76678512291424e-05,-0.000104223785951083,-0.51
0.0232333333333333,0.51,0.01,-0.01,-0.04,,,0,-1.48531115816952e-05,-0.000104223785951083,,,,1.80526378092302e-05,1.73064873242655e-05,1.73064873242655e-05,1.73064873242655e-05,-0.000104223785951083,-0.51
0.024,0.51,0.01,-0.02,-0.04,,,0,0,-0.000104223785951083,,,,1.80405889491812e-05,1.69662813404579e-05,1.69662813404579e-05,1.69662813404579e-05,-0.000104223785951083,-0.51
0.0247333333333333,0.51,0,0.01,-0.04,,,0,0,-0.00010506842588752,,,,1.80405889491812e-05,1.6645260944931e-05,1.6645260944931e-05,1.6645260944931e-05,-0.000104223785951083,-0.51
0.0254666666666667,0.51,0,0.01,-0.04,,,0,0,-0.00010506842588752,,,,1.80405889491812e-05,1.63416999023644e-05,1.63416999023644e-05,1.63416999023644e-05,-0.000104223785951083,-0.51
0.0263,0.51,0,0,-0.04,,,1.1462924619315e-05,1.1462924619315e-05,-9.36067056596507e-05,,,,1.83544043768206e-05,1.63002327382998e-05,1.63002327382998e-05,1.63002327382998e-05,-9.27620560411694e-05,-0.51
0.0272,0.51,0,0,-0.04,,,1.1462924619315e-05,1.1462924619315e-05,-9.36067056596507e-05,,,,1.83544043768206e-05,1.60192038810565e-05,1.60192038810565e-05,1.60192038810565e-05,-9.27620560411694e-05,-0.51
0.0279666666666667,0.51,0,0,-0.04,,,1.11198907070707e-05,1.11198907070707e-05,-9.39497035298619e-05,,,,4.17672520525282e-06,1.5749913276573e-05,1.5749913276573e-05,1.5749913276573e-05,-9.31050542011207e-05,-0.51
0.0287,0.51,0,0,-0.04,,,-3.43029980117558e-07,1.11198907070707e-05,-9.56307907517617e-06,,,,4.17672520525282e-06,1.54959104885596e-05,1.54959104885596e-05,1.54959104885596e-05,-9.31050542011207e-05,-0.51
0.0295333333333333,0.51,0,0,-0.04,,,-3.43029980117558e-07,1.11198907070707e-05,-9.56307907517617e-06,,,,4.10957164982824e-06,1.52537868344621e-05,1.52537868344621e-05,1.52537868344621e-05,-9.31050542011207e-05,-0.51
0.0302333333333333,0.51,0,0,-0.04,,,-8.07012546362946e-06,-8.41315267545205e-06,-1.38305155623817e-05,,,,4.43072902334181e-06,1.50394146598058e-05,1.50394146598058e-05,1.50394146598058e-05,-0.000101174428295282,-0.51
0.0309,0.51,0,0,-0.04,,,-8.07012546362946e-06,-8.41315267545205e-06,-1.38305155623817e-05,,,,4.43072902334181e-06,1.48197058361068e-05,1.48197058361068e-05,1.48197058361068e-05,-0.000101174428295282,-0.51
0.0316,0.5,-0.01,-0.01,-0.04,,,-8.07012546362946e-06,-8.07012546362946e-06,-1.38305155623817e-05,,,,4.43072902334181e-06,1.46093291584208e-05,1.46093291584208e-05,1.46093291584208e-05,-0.000101174428295282,-0.5
0.0323333333333333,0.5,-0.01,-0.01,-0.04,,,0,-8.07012546362946e-06,-1.38305155623817e-05,,,,4.43072902334181e-06,1.44076438825991e-05,1.44076438825991e-05,1.44076438825991e-05,-0.000101174428295282,-0.5
0.0331333333333333,0.5,-0.01,-0.01,-0.04,,,0,-8.07012546362946e-06,-1.38305155623817e-05,,,,4.3310327299385e-06,1.42140690412767e-05,1.42140690412767e-05,1.42140690412767e-05,-0.000101174428295282,-0.5
0.0339,0.5,0,-0.01,-0.04,,,0,0,-1.38305155623817e-05,,,,4.43072902334181e-06,1.40280764806408e-05,1.40280764806408e-05,1.40280764806408e-05,-0.000101174428295282,-0.5
0.0347,0.5,0,-0.01,-0.04,,,0,0,-1.38305155623817e-05,,,,4.42193626034735e-06,1.38491848605112e-05,1.38491848605112e-05,1.38491848605112e-05,-0.000101174428295282,-0.5
0.0354,0.5,0,0,-0.04,,,-3.5979720170523e-07,-3.5979720170523e-07,-1.21632743291834e-05,,,,4.42042207420683e-06,1.36753226936567e-05,1.36753226936567e-05,1.36753226936567e-05,-0.000101534189094711,-0.5
0.0361666666666667,0.5,0,0,-0.04,,,-3.5979720170523e-07,-3.5979720170523e-07,-1.21632743291834e-05,,,,4.32047439682979e-06,1.35094154346751e-05,1.35094154346751e-05,1.35094154346751e-05,-0.000101534189094711,-0.5
0.0369666666666667,0.5,0,0,-0.02,,,-6.39004262484244e-07,-6.39004262484244e-07,-1.24424780943471e-05,,,,2.98927228848719e-06,1.33481995069359e-05,1.33481995069359e-05,1.33481995069359e-05,-0.000101813367906875,-0.5
