time_fraction_elapsed,up_price,up_price_change_0_5s,up_price_change_1s,up_price_change_5s,up_price_change_15s,up_price_change_30s,btc_return_0_5s,btc_return_1s,btc_return_5s,btc_return_15s,btc_return_30s,btc_return_60s,btc_volatility_5s,btc_volatility_15s,btc_volatility_30s,btc_volatility_60s,btc_distance_to_beat_pct,market_confidence_gap
0.000966666666666667,0.49,,,,,,,,,,,,0,0,0,0,,
0.00163333333333333,0.48,,,,,,,,,,,,0,0,0,0,,
0.00233333333333333,0.43,,,,,,,,,,,,0,0,0,0,,
0.00306666666666667,0.43,-0.06,,,,,,,,,,,0,0,0,0,,
0.00373333333333333,0.43,-0.05,,,,,,,,,,,0,0,0,0,0,-0.43
0.00443333333333333,0.44,0.01,-0.05,,,,,,,,,,0,0,0,0,0,-0.44
0.0052,0.44,0.01,-0.04,,,,,,,,,,0,0,0,0,0,-0.44
0.00593333333333333,0.44,0.01,0.01,,,,0,,,,,,0,0,0,0,0,-0.44
0.0067,0.44,0,0.01,,,,0,,,,,,0,0,0,0,0,-0.44
0.00743333333333333,0.44,0,0.01,,,,0,0,,,,,0,0,0,0,0,-0.44
0.00816666666666667,0.48,0.04,0.04,,,,-9.16134059796456e-05,-9.16134059796456e-05,,,,,3.41423005701289e-05,3.41423005701289e-05,3.41423005701289e-05,3.41423005701289e-05,-9.16134059796456e-05,-0.48
0.0088,0.5,0.06,0.06,,,,-9.16134059796456e-05,-9.16134059796456e-05,,,,,3.20580140355104e-05,3.20580140355104e-05,3.20580140355104e-05,3.20580140355104e-05,-9.16134059796456e-05,-0.5
0.0095,0.5,0.06,0.06,,,,-9.16134059796456e-05,-9.16134059796456e-05,,,,,3.02982861227175e-05,3.02982861227175e-05,3.02982861227175e-05,3.02982861227175e-05,-9.16134059796456e-05,-0.5
0.0102333333333333,0.5,0.02,0.06,,,,0,-9.16134059796456e-05,,,,,2.87913158292461e-05,2.87913158292461e-05,2.87913158292461e-05,2.87913158292461e-05,-9.16134059796456e-05,-0.5
0.0109,0.5,0,0.06,,,,0,-9.16134059796456e-05,,,,,2.74840217938937e-05,2.74840217938937e-05,2.74840217938937e-05,2.74840217938937e-05,-9.16134059796456e-05,-0.5
0.0116,0.5,0,0.02,,,,-8.93416725358431e-06,-8.93416725358431e-06,,,,,2.62050679619402e-05,2.62050679619402e-05,2.62050679619402e-05,2.62050679619402e-05,-0.000100546754743738,-0.5
0.0122333333333333,0.5,0,0,,,,-8.93416725358431e-06,-8.93416725358431e-06,,,,,2.52163157490158e-05,2.52163157490158e-05,2.52163157490158e-05,2.52163157490158e-05,-0.000100546754743738,-0.5
0.0129,0.5,0,0,,,,-8.93416725358431e-06,-8.93416725358431e-06,,,,,2.43297182356594e-05,2.43297182356594e-05,2.43297182356594e-05,2.43297182356594e-05,-0.000100546754743738,-0.5
0.0136,0.5,0,0,,,,0,-8.93416725358431e-06,,,,,2.35291701841584e-05,2.35291701841584e-05,2.35291701841584e-05,2.35291701841584e-05,-0.000100546754743738,-0.5
0.0143,0.5,0,0,,,,0,-8.93416725358431e-06,,,,,2.28018242947069e-05,2.28018242947069e-05,2.28018242947069e-05,2.28018242947069e-05,-0.000100546754743738,-0.5
0.0150333333333333,0.5,0,0,,,,9.3820900103472e-05,9.3820900103472e-05,,,,,3.28560960741305e-05,3.28560960741305e-05,3.28560960741305e-05,3.28560960741305e-05,-6.73528802729877e-06,-0.5
0.0157666666666667,0.5,0,0,,,,9.3820900103472e-05,9.3820900103472e-05,,,,,3.18752486875135e-05,3.18752486875135e-05,3.18752486875135e-05,3.18752486875135e-05,-6.73528802729877e-06,-0.5
0.0165,0.51,0.01,0.01,,,,9.3820900103472e-05,9.3820900103472e-05,,,,,3.09773062192798e-05,3.09773062192798e-05,3.09773062192798e-05,3.09773062192798e-05,-6.73528802729877e-06,-0.51
0.0171666666666667,0.51,0.01,0.01,,,,3.32254416827807e-05,0.000127049459027098,,,,,3.10705222286344e-05,3.10705222286344e-05,3.10705222286344e-05,3.10705222286344e-05,2.64899298725623e-05,0.49
