time_fraction_elapsed,up_price,up_price_change_0_5s,up_price_change_1s,up_price_change_5s,up_price_change_15s,up_price_change_30s,btc_return_0_5s,btc_return_1s,btc_return_5s,btc_return_15s,btc_return_30s,btc_return_60s,btc_volatility_5s,btc_volatility_15s,btc_volatility_30s,btc_volatility_60s,btc_distance_to_beat_pct,market_confidence_gap
0.00133333333333333,0.5,,,,,,,,,,,,0,0,0,0,,
0.002,0.5,,,,,,,,,,,,0,0,0,0,,
0.00266666666666667,0.51,,,,,,,,,,,,0,0,0,0,,
0.0034,0.51,0.01,,,,,,,,,,,0,0,0,0,0,-0.51
0.00413333333333333,0.51,0.01,,,,,,,,,,,0,0,0,0,0,-0.51
0.00483333333333333,0.51,0,0.01,,,,,,,,,,0,0,0,0,0,-0.51
0.0056,0.51,0,0.01,,,,-6.36688790367143e-07,,,,,,3.00137974116045e-07,3.00137974116045e-07,3.00137974116045e-07,3.00137974116045e-07,-6.36688790367143e-07,-0.51
0.00636666666666667,0.51,0,0,,,,-6.36688790367143e-07,,,,,,2.75694333381365e-07,2.75694333381365e-07,2.75694333381365e-07,2.75694333381365e-07,-6.36688790367143e-07,-0.51
0.0071,0.51,0,0,,,,-6.36688790367143e-07,-6.36688790367143e-07,,,,,2.54675516146857e-07,2.54675516146857e-07,2.54675516146857e-07,2.54675516146857e-07,-6.36688790367143e-07,-0.51
0.00783333333333333,0.51,0,0,,,,0,-6.36688790367143e-07,,,,,2.37279902628841e-07,2.37279902628841e-07,2.37279902628841e-07,2.37279902628841e-07,-6.36688790367143e-07,-0.51
0.00863333333333333,0.51,0,0,,,,0,-6.36688790367143e-07,,,,,2.22794665907049e-07,2.22794665907049e-07,2.22794665907049e-07,2.22794665907049e-07,-6.36688790367143e-07,-0.51
0.0093,0.51,0,0,,,,1.58312223851804e-08,1.58312223851804e-08,,,,,2.11376508988205e-07,2.11376508988205e-07,2.11376508988205e-07,2.11376508988205e-07,-6.20857578061525e-07,-0.51
0.01,0.51,0,0,,,,1.58312223851804e-08,1.58312223851804e-08,,,,,2.0077458248432e-07,2.0077458248432e-07,2.0077458248432e-07,2.0077458248432e-07,-6.20857578061525e-07,-0.51
0.0107,0.51,0,0,,,,1.58312223851804e-08,1.58312223851804e-08,,,,,1.91592492391883e-07,1.91592492391883e-07,1.91592492391883e-07,1.91592492391883e-07,-6.20857578061525e-07,-0.51
0.0114666666666667,0.51,0,0,,,,0,1.58312223851804e-08,,,,,1.83546142496679e-07,1.83546142496679e-07,1.83546142496679e-07,1.83546142496679e-07,-6.20857578061525e-07,-0.51
0.0122,0.51,0,0,,,,0,1.58312223851804e-08,,,,,1.76423078942986e-07,1.76423078942986e-07,1.76423078942986e-07,1.76423078942986e-07,-6.20857578061525e-07,-0.51
0.0129333333333333,0.51,0,0,,,,9.56659553235138e-06,9.56659553235138e-06,,,,,2.56859000009534e-06,2.56859000009534e-06,2.56859000009534e-06,2.56859000009534e-06,8.94573201479653e-06,0.49
0.0136666666666667,0.51,0,0,,,,9.56659553235138e-06,9.56659553235138e-06,,,,,2.4814916913539e-06,2.4814916913539e-06,2.4814916913539e-06,2.4814916913539e-06,8.94573201479653e-06,0.49
0.0144,0.51,0,0,,,,9.56659553235138e-06,9.56659553235138e-06,,,,,2.40264148351364e-06,2.40264148351364e-06,2.40264148351364e-06,2.40264148351364e-06,8.94573201479653e-06,0.49
0.0150666666666667,0.51,0,0,,,,0,9.56659553235138e-06,,,,,2.33082246870658e-06,2.33082246870658e-06,2.33082246870658e-06,2.33082246870658e-06,8.94573201479653e-06,0.49
0.0157333333333333,0.51,0,0,,,,5.29032694128872e-06,1.48569730840582e-05,,,,,2.520404144537e-06,2.520404144537e-06,2.520404144537e-06,2.520404144537e-06,1.42361062819323e-05,0.49
0.0165,0.51,0,0,,,,5.29032694128872e-06,5.29032694128872e-06,,,,,2.45689206993904e-06,2.45689206993904e-06,2.45689206993904e-06,2.45689206993904e-06,1.42361062819323e-05,0.49
0.0172,0.51,0,0,,,,5.29032694128872e-06,5.29032694128872e-06,,,,,2.39787542903103e-06,2.39787542903103e-06,2.39787542903103e-06,2.39787542903103e-06,1.42361062819323e-05,0.49
0.0179666666666667,0.51,0,0,,,,-1.10165130857466e-05,-5.72624442541382e-06,,,,,3.46956926246676e-06,3.46956926246676e-06,3.46956926246676e-06,3.46956926246676e-06,3.21943636393463e-06,0.49
0.0188,0.51,0,0,0.01,,,-1.10165130857466e-05,-5.72624442541382e-06,,,,,3.3861264365906e-06,3.3861264365906e-06,3.3861264365906e-06,3.3861264365906e-06,3.21943636393463e-06,0.49
0.0195,0.51,0,0,0,,,-1.10165130857466e-05,-1.10165130857466e-05,,,,,3.30842817192594e-06,3.30842817192594e-06,3.30842817192594e-06,3.30842817192594e-06,3.21943636393463e-06,0.49
0.0201666666666667,0.51,0,0,0,,,0,-1.10165130857466e-05,3.21943636393463e-06,,,,3.30842817192594e-06,3.23584421159119e-06,3.23584421159119e-06,3.23584421159119e-06,3.21943636393463e-06,0.49
0.0208333333333333,0.5,-0.01,-0.01,-0.01,,,0,-1.10165130857466e-05,3.21943636393463e-06,,,,3.30842817192594e-06,3.16783704220876e-06,3.16783704220876e-06,3.16783704220876e-06,3.21943636393463e-06,0.5
0.0216,0.5,-0.01,-0.01,-0.01,,,0,0,3.21943636393463e-06,,,,3.30423409112889e-06,3.10394505415475e-06,3.10394505415475e-06,3.10394505415475e-06,3.21943636393463e-06,0.5
0.0223333333333333,0.5,-0.01,-0.01,-0.01,,,0,0,3.85612760945499e-06,,,,3.30423409112889e-06,3.04376929420381e-06,3.04376929420381e-06,3.04376929420381e-06,3.21943636393463e-06,0.5
0.0230333333333333,0.49,-0.01,-0.02,-0.02,,,-3.6781968099602e-05,-3.6781968099602e-05,-3.29259823261097e-05,,,,8.3788338971911e-06,7.58280175517006e-06,7.58280175517006e-06,7.58280175517006e-06,-3.3562650152873e-05,-0.49
0.0237666666666667,0.45,-0.05,-0.06,-0.06,,,-3.6781968099602e-05,-3.6781968099602e-05,-3.29259823261097e-05,,,,8.37883389719109e-06,7.44973590327274e-06,7.44973590327274e-06,7.44973590327274e-06,-3.3562650152873e-05,-0.45
0.0245333333333333,0.45,-0.05,-0.05,-0.06,,,-3.6781968099602e-05,-3.6781968099602e-05,-3.29259823261097e-05,,,,8.37883389719109e-06,7.323432060007e-06,7.323432060007e-06,7.323432060007e-06,-3.3562650152873e-05,-0.45
0.0252,0.45,-0.04,-0.05,-0.06,,,-3.05121319906272e-05,-6.72929777939636e-05,-6.34371096748182e-05,,,,1.01076859149597e-05,8.92249643266805e-06,8.92249643266805e-06,8.92249643266805e-06,-6.40737580754888e-05,-0.45
0.0258666666666667,0.45,0,-0.05,-0.06,,,-3.05121319906272e-05,-6.72929777939636e-05,-6.34371096748182e-05,,,,1.01074975247945e-05,8.7855138193824e-06,8.7855138193824e-06,8.7855138193824e-06,-6.40737580754888e-05,-0.45
0.0266,0.45,0,-0.04,-0.06,,,-3.05121319906272e-05,-3.05121319906272e-05,-6.34529398926658e-05,,,,1.01074975247945e-05,8.65462575407531e-06,8.65462575407531e-06,8.65462575407531e-06,-6.40737580754888e-05,-0.45
0.0273666666666667,0.44,-0.01,-0.01,-0.07,,,0,-3.05121319906272e-05,-6.34529398926658e-05,,,,1.03171467784202e-05,8.52939539488392e-06,8.52939539488392e-06,8.52939539488392e-06,-6.40737580754888e-05,-0.44
0.0281,0.43,-0.02,-0.02,-0.08,,,-3.29327776844909e-05,-6.34439048258585e-05,-9.63836278955938e-05,,,,1.18053299952591e-05,9.90093670288531e-06,9.90093670288531e-06,9.90093670288531e-06,-9.70044256331495e-05,-0.43
0.0288,0.42,-0.03,-0.03,-0.09,,,-3.29327776844909e-05,-3.29327776844909e-05,-9.63836278955938e-05,,,,1.18053299952591e-05,9.77003953093904e-06,9.77003953093904e-06,9.77003953093904e-06,-9.70044256331495e-05,-0.42
0.0294666666666667,0.42,-0.02,-0.03,-0.09,,,-3.29327776844909e-05,-3.29327776844909e-05,-9.63836278955938e-05,,,,1.14772613286374e-05,9.64415067913711e-06,9.64415067913711e-06,9.64415067913711e-06,-9.70044256331495e-05,-0.42
0.0301333333333333,0.42,-0.01,-0.03,-0.09,,,0,-3.29327776844909e-05,-0.000105949209854708,,,,1.14772613286374e-05,9.52296229808254e-06,9.52296229808254e-06,9.52296229808254e-06,-9.70044256331495e-05,-0.42
0.0308666666666667,0.42,0,-0.02,-0.09,,,0,-3.29327776844909e-05,-0.000105949209854708,,,,1.14772613286374e-05,9.40619203874347e-06,9.40619203874347e-06,9.40619203874347e-06,-9.70044256331495e-05,-0.42
0.0315,0.42,0,-0.01,-0.09,,,0,0,-0.000105949209854708,,,,1.14772613286374e-05,9.29358044412465e-06,9.29358044412465e-06,9.29358044412465e-06,-9.70044256331495e-05,-0.42
0.0322333333333333,0.52,0.1,0.1,0.01,,,0,0,-0.000105949209854708,,,,1.13286618108703e-05,9.18488865300537e-06,9.18488865300537e-06,9.18488865300537e-06,-9.70044256331495e-05,-0.52
0.0329333333333333,0.52,0.1,0.1,0.01,,,-3.00609355140819e-05,-3.00609355140819e-05,-0.000141296539872821,,,,1.23805035884955e-05,1.00238670222288e-05,1.00238670222288e-05,1.00238670222288e-05,-0.000127062445103448,-0.52
0.0337333333333333,0.53,0.11,0.11,0.02,,,-3.00609355140819e-05,-3.00609355140819e-05,-0.000141296539872821,,,,1.23805035884955e-05,9.91508088853709e-06,9.91508088853709e-06,9.91508088853709e-06,-0.000127062445103448,-0.53
