time_fraction_elapsed,up_price,up_price_change_0_5s,up_price_change_1s,up_price_change_5s,up_price_change_15s,up_price_change_30s,btc_return_0_5s,btc_return_1s,btc_return_5s,btc_return_15s,btc_return_30s,btc_return_60s,btc_volatility_5s,btc_volatility_15s,btc_volatility_30s,btc_volatility_60s,btc_distance_to_beat_pct,market_confidence_gap
0.00106666666666667,0.51,,,,,,,,,,,,0,0,0,0,0,-0.51
0.00173333333333333,0.51,,,,,,,,,,,,0,0,0,0,0,-0.51
0.00246666666666667,0.52,,,,,,,,,,,,0,0,0,0,0,-0.52
0.00313333333333333,0.53,0.02,,,,,0,,,,,,0,0,0,0,0,-0.53
0.00386666666666667,0.54,0.03,,,,,0,,,,,,0,0,0,0,0,-0.54
0.00456666666666667,0.54,0.02,0.03,,,,7.97871117303405e-05,7.97871117303405e-05,,,,,3.19148446921362e-05,3.19148446921362e-05,3.19148446921362e-05,3.19148446921362e-05,7.97871117303405e-05,0.46
0.0053,0.54,0.01,0.03,,,,7.97871117303405e-05,7.97871117303405e-05,,,,,2.97349009262354e-05,2.97349009262354e-05,2.97349009262354e-05,2.97349009262354e-05,7.97871117303405e-05,0.46
0.006,0.54,0,0.02,,,,7.97871117303405e-05,7.97871117303405e-05,,,,,2.79196731128235e-05,2.79196731128235e-05,2.79196731128235e-05,2.79196731128235e-05,7.97871117303405e-05,0.46
0.00686666666666667,0.55,0.01,0.02,,,,0,7.97871117303405e-05,,,,,2.63871069333257e-05,2.63871069333257e-05,2.63871069333257e-05,2.63871069333257e-05,7.97871117303405e-05,0.45
0.00763333333333333,0.54,0,0,,,,0,7.97871117303405e-05,,,,,2.50746701136944e-05,2.50746701136944e-05,2.50746701136944e-05,2.50746701136944e-05,7.97871117303405e-05,0.46
0.00833333333333333,0.54,0,0,,,,6.77830657594826e-05,6.77830657594826e-05,,,,,2.96358422751681e-05,2.96358422751681e-05,2.96358422751681e-05,2.96358422751681e-05,0.000147575585704864,0.46
0.0091,0.54,-0.01,0,,,,6.77830657594826e-05,6.77830657594826e-05,,,,,2.85733566496917e-05,2.85733566496917e-05,2.85733566496917e-05,2.85733566496917e-05,0.000147575585704864,0.46
0.0098,0.54,0,0,,,,6.77830657594826e-05,6.77830657594826e-05,,,,,2.76070352773518e-05,2.76070352773518e-05,2.76070352773518e-05,2.76070352773518e-05,0.000147575585704864,0.46
0.0105666666666667,0.53,-0.01,-0.02,,,,4.18149531913378e-06,7.19648445131886e-05,,,,,2.66120036943723e-05,2.66120036943723e-05,2.66120036943723e-05,2.66120036943723e-05,0.000151757698110619,0.47
0.0112666666666667,0.53,-0.01,-0.01,,,,4.18149531913378e-06,7.19648445131886e-05,,,,,2.58195859124659e-05,2.58195859124659e-05,2.58195859124659e-05,2.58195859124659e-05,0.000151757698110619,0.47
0.012,0.48,-0.0600000000000001,-0.0600000000000001,,,,4.18149531913378e-06,4.18149531913378e-06,,,,,2.5090202725066e-05,2.5090202725066e-05,2.5090202725066e-05,2.5090202725066e-05,0.000151757698110619,0.52
0.0126333333333333,0.49,-0.04,-0.05,,,,0,4.18149531913378e-06,,,,,2.44166009965663e-05,2.44166009965663e-05,2.44166009965663e-05,2.44166009965663e-05,0.000151757698110619,0.51
0.0134,0.5,-0.03,-0.04,,,,0,4.18149531913378e-06,,,,,2.37924732644083e-05,2.37924732644083e-05,2.37924732644083e-05,2.37924732644083e-05,0.000151757698110619,0.5
0.0141,0.47,-0.01,-0.0600000000000001,,,,0,0,,,,,2.32123615223529e-05,2.32123615223529e-05,2.32123615223529e-05,2.32123615223529e-05,0.000151757698110619,0.53
0.0148,0.48,-0.01,-0.05,,,,2.87002823193328e-06,2.87002823193328e-06,,,,,2.26273474467396e-05,2.26273474467396e-05,2.26273474467396e-05,2.26273474467396e-05,0.00015462816189143,0.52
0.0157,0.48,-0.02,0,,,,2.87002823193328e-06,2.87002823193328e-06,,,,,2.21256137152637e-05,2.21256137152637e-05,2.21256137152637e-05,2.21256137152637e-05,0.00015462816189143,0.52
0.0164,0.47,0,-0.02,,,,2.87002823193328e-06,2.87002823193328e-06,,,,,2.16550655534095e-05,2.16550655534095e-05,2.16550655534095e-05,2.16550655534095e-05,0.00015462816189143,0.53
0.0171333333333333,0.47,-0.01,-0.03,,,,0,2.87002823193328e-06,,,,,2.12126975095236e-05,2.12126975095236e-05,2.12126975095236e-05,2.12126975095236e-05,0.00015462816189143,0.53
0.0178666666666667,0.47,-0.01,0,-0.04,,,-4.15115893036514e-05,-3.86416802111513e-05,0.000113110153727028,,,,2.34791207282924e-05,2.29869573662133e-05,2.29869573662133e-05,2.29869573662133e-05,0.000113110153727028,0.53
0.0185,0.47,0,-0.01,-0.04,,,-4.15115893036514e-05,-4.15115893036514e-05,0.000113110153727028,,,,2.34791207282924e-05,2.25244146763679e-05,2.25244146763679e-05,2.25244146763679e-05,0.000113110153727028,0.53
