time_fraction_elapsed,up_price,up_price_change_0_5s,up_price_change_1s,up_price_change_5s,up_price_change_15s,up_price_change_30s,btc_return_0_5s,btc_return_1s,btc_return_5s,btc_return_15s,btc_return_30s,btc_return_60s,btc_volatility_5s,btc_volatility_15s,btc_volatility_30s,btc_volatility_60s,btc_distance_to_beat_pct,market_confidence_gap
0.0007,0.49,,,,,,,,,,,,0,0,0,0,,
0.0013,0.49,,,,,,,,,,,,0,0,0,0,,
0.00193333333333333,0.49,,,,,,,,,,,,0,0,0,0,,
0.00263333333333333,0.49,0,,,,,0,,,,,,0,0,0,0,,
0.0033,0.5,0.01,,,,,0,,,,,,0,0,0,0,,
0.00396666666666667,0.5,0.01,,,,,0,,,,,,0,0,0,0,,
0.00463333333333333,0.5,0.01,0.01,,,,,,,,,,0,0,0,0,0,-0.5
0.00523333333333333,0.5,0,0.01,,,,,,,,,,0,0,0,0,0,-0.5
0.0059,0.5,0,0.01,,,,,,,,,,0,0,0,0,0,-0.5
0.0065,0.5,0,0.01,,,,0,,,,,,0,0,0,0,0,-0.5
0.0072,0.5,0,0,,,,0,,,,,,0,0,0,0,0,-0.5
0.00786666666666667,0.5,0,0,,,,0,,,,,,0,0,0,0,0,-0.5
0.00853333333333333,0.5,0,0,,,,0,0,,,,,0,0,0,0,0,-0.5
0.00923333333333333,0.5,0,0,,,,6.25275639574276e-07,6.25275639574276e-07,,,,,2.18800895078483e-07,2.18800895078483e-07,2.18800895078483e-07,2.18800895078483e-07,6.25275639574276e-07,0.5
0.0099,0.5,0,0,,,,6.25275639574276e-07,6.25275639574276e-07,,,,,2.06790480397549e-07,2.06790480397549e-07,2.06790480397549e-07,2.06790480397549e-07,6.25275639574276e-07,0.5
0.0105666666666667,0.5,0,0,,,,1.47720573109498e-06,1.47720573109498e-06,,,,,3.11678989451099e-07,3.11678989451099e-07,3.11678989451099e-07,3.11678989451099e-07,1.47720573109498e-06,0.5
0.0113333333333333,0.5,0,0,,,,8.51929558829908e-07,1.47720573109498e-06,,,,,2.9975658105101e-07,2.9975658105101e-07,2.9975658105101e-07,2.9975658105101e-07,1.47720573109498e-06,0.5
0.0121,0.5,0,0,,,,8.51929558829908e-07,1.47720573109498e-06,,,,,2.88944422391817e-07,2.88944422391817e-07,2.88944422391817e-07,2.88944422391817e-07,1.47720573109498e-06,0.5
0.0127666666666667,0.5,0,0,,,,0,8.51929558829908e-07,,,,,2.79121986295685e-07,2.79121986295685e-07,2.79121986295685e-07,2.79121986295685e-07,1.47720573109498e-06,0.5
0.0134,0.51,0.01,0.01,,,,0,8.51929558829908e-07,,,,,2.70170465411126e-07,2.70170465411126e-07,2.70170465411126e-07,2.70170465411126e-07,1.47720573109498e-06,0.49
0.0142,0.51,0.01,0.01,,,,0,0,,,,,2.61982387464482e-07,2.61982387464482e-07,2.61982387464482e-07,2.61982387464482e-07,1.47720573109498e-06,0.49
0.0148666666666667,0.51,0.01,0.01,,,,8.71050384157611e-07,8.71050384157611e-07,,,,,3.17055419445044e-07,3.17055419445044e-07,3.17055419445044e-07,3.17055419445044e-07,2.34825740197321e-06,0.49
