timestamp,unix_time,seconds_left,elapsed,up_price,down_price,btc_binance,btc_chainlink,price_to_beat,balance,up_tokens,down_tokens,event,event_side,bet_usd,buy_prob,tokens,btc_at_event,reason,outcome,payout,pnl
21:15:00.302,1777839300.303,299.70,0.30,0.48,0.52,,78727.34512,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:00.518,1777839300.519,299.48,0.52,0.48,0.52,,78727.34512,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:00.745,1777839300.746,299.25,0.75,0.48,0.52,,78727.34512,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:00.954,1777839300.954,299.05,0.95,0.47,0.53,,78727.34512,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:01.184,1777839301.185,298.82,1.18,0.47,0.53,,78727.34512,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:01.424,1777839301.424,298.58,1.42,0.47,0.53,,78727.34512,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:01.641,1777839301.641,298.36,1.64,0.47,0.53,,78727.34512,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:01.855,1777839301.856,298.14,1.86,0.47,0.53,,78725.594945,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:02.055,1777839302.056,297.94,2.06,0.47,0.53,,78725.594945,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:02.284,1777839302.285,297.72,2.28,0.47,0.53,,78725.594945,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:02.512,1777839302.512,297.49,2.51,0.47,0.53,,78725.594945,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:02.732,1777839302.732,297.27,2.73,0.47,0.53,,78724.92003352115,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:02.944,1777839302.944,297.06,2.94,0.47,0.53,,78724.92003352115,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:03.167,1777839303.168,296.83,3.17,0.47,0.53,,78724.92003352115,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:03.395,1777839303.395,296.60,3.40,0.47,0.53,,78724.92003352115,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:03.613,1777839303.614,296.39,3.61,0.46,0.54,,78724.92003352115,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:03.829,1777839303.829,296.17,3.83,0.46,0.54,,78722.74873288606,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:04.035,1777839304.035,295.96,4.04,0.46,0.54,,78722.74873288606,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:04.272,1777839304.272,295.73,4.27,0.43,0.57,,78722.74873288606,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:04.490,1777839304.490,295.51,4.49,0.43,0.57,,78722.74873288606,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:04.701,1777839304.701,295.30,4.70,0.43,0.57,,78722.74873288606,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:04.917,1777839304.917,295.08,4.92,0.42,0.58,,78719.86629052881,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:05.130,1777839305.131,294.87,5.13,0.42,0.58,,78719.86629052881,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:05.354,1777839305.354,294.65,5.35,0.42,0.58,,78719.86629052881,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:05.576,1777839305.576,294.42,5.58,0.42,0.58,,78719.86629052881,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:05.792,1777839305.793,294.21,5.79,0.42,0.58,,78719.525085,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:06.003,1777839306.004,294.00,6.00,0.42,0.58,,78719.525085,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:06.222,1777839306.223,293.78,6.22,0.42,0.58,,78719.525085,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:06.446,1777839306.446,293.55,6.45,0.42,0.58,,78719.525085,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:06.657,1777839306.657,293.34,6.66,0.42,0.58,,78719.525085,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:06.883,1777839306.883,293.12,6.88,0.42,0.58,,78719.525085,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:07.100,1777839307.100,292.90,7.10,0.42,0.58,,78719.525085,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:07.332,1777839307.332,292.67,7.33,0.42,0.58,,78719.525085,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:07.534,1777839307.535,292.47,7.53,0.42,0.58,,78719.525085,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:07.766,1777839307.767,292.23,7.77,0.42,0.58,,78719.525085,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:08.001,1777839308.002,292.00,8.00,0.42,0.58,,78719.531745,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:08.204,1777839308.205,291.80,8.20,0.42,0.58,,78719.531745,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:08.421,1777839308.421,291.58,8.42,0.42,0.58,,78719.531745,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:08.636,1777839308.636,291.36,8.64,0.42,0.58,,78719.531745,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:08.854,1777839308.854,291.15,8.85,0.42,0.58,,78719.529885,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:09.079,1777839309.080,290.92,9.08,0.42,0.58,,78719.529885,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
21:15:09.282,1777839309.282,290.72,9.28,0.42,0.58,,78719.529885,78727.34512,106.1463,0.0000,0.0000,,,,,,,,,,
