timestamp,unix_time,seconds_left,elapsed,up_price,down_price,btc_binance,btc_chainlink,price_to_beat,balance,up_tokens,down_tokens,event,event_side,bet_usd,buy_prob,tokens,btc_at_event,reason,outcome,payout,pnl
21:50:00.339,1777841400.339,299.66,0.34,0.53,0.47,,,,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:00.562,1777841400.563,299.44,0.56,0.53,0.47,,,,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:00.770,1777841400.770,299.23,0.77,0.54,0.46,,,,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:00.988,1777841400.988,299.01,0.99,0.54,0.46,,,,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:01.211,1777841401.211,298.79,1.21,0.54,0.46,,,,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:01.430,1777841401.431,298.57,1.43,0.56,0.44,,78840.885885,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:01.646,1777841401.647,298.35,1.65,0.58,0.42,,78840.885885,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:01.848,1777841401.849,298.15,1.85,0.59,0.41,,78840.885885,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:02.067,1777841402.068,297.93,2.07,0.59,0.41,,78840.885885,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:02.285,1777841402.286,297.71,2.29,0.6,0.4,,78840.885885,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:02.494,1777841402.494,297.51,2.49,0.6,0.4,,78840.885885,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:02.697,1777841402.698,297.30,2.70,0.6,0.4,,78841.165505,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:02.917,1777841402.917,297.08,2.92,0.6,0.4,,78841.165505,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:03.153,1777841403.154,296.85,3.15,0.6,0.4,,78841.165505,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:03.372,1777841403.372,296.63,3.37,0.6,0.4,,78841.165505,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:03.589,1777841403.589,296.41,3.59,0.6,0.4,,78841.165505,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:03.834,1777841403.834,296.17,3.83,0.6,0.4,,78841.165505,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:04.056,1777841404.056,295.94,4.06,0.63,0.37,,78841.165505,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:04.274,1777841404.275,295.73,4.27,0.63,0.37,,78841.165505,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:04.504,1777841404.505,295.50,4.50,0.63,0.37,,78841.165505,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:04.741,1777841404.741,295.26,4.74,0.63,0.37,,78841.165505,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:04.966,1777841404.967,295.03,4.97,0.63,0.37,,78844.988465,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:05.227,1777841405.227,294.77,5.23,0.63,0.37,,78844.988465,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:05.511,1777841405.512,294.49,5.51,0.63,0.37,,78845.38262,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:05.754,1777841405.754,294.25,5.75,0.68,0.32,,78845.38262,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:06.001,1777841406.002,294.00,6.00,0.68,0.32,,78845.38262,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:06.329,1777841406.330,293.67,6.33,0.68,0.32,,78851.07317212789,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:06.553,1777841406.553,293.45,6.55,0.68,0.32,,78851.07317212789,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:06.814,1777841406.815,293.19,6.81,0.69,0.31,,78851.07317212789,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:07.042,1777841407.043,292.96,7.04,0.7,0.3,,78851.07317212789,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:07.301,1777841407.301,292.70,7.30,0.71,0.29,,78851.07317212789,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:07.557,1777841407.557,292.44,7.56,0.71,0.29,,78851.07317212789,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:07.776,1777841407.777,292.22,7.78,0.7,0.3,,78864.07468,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:08.060,1777841408.061,291.94,8.06,0.7,0.3,,78864.07468,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:08.269,1777841408.270,291.73,8.27,0.7,0.3,,78864.07468,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:08.535,1777841408.535,291.46,8.54,0.7,0.3,,78866.1339109683,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:08.789,1777841408.789,291.21,8.79,0.69,0.31,,78866.1339109683,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:08.998,1777841408.999,291.00,9.00,0.69,0.31,,78866.1339109683,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:09.242,1777841409.243,290.76,9.24,0.69,0.31,,78866.1339109683,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:09.511,1777841409.512,290.49,9.51,0.69,0.31,,78866.1339109683,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:09.777,1777841409.778,290.22,9.78,0.69,0.31,,78866.1339109683,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:10.051,1777841410.052,289.95,10.05,0.69,0.31,,78866.1339109683,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:10.300,1777841410.300,289.70,10.30,0.69,0.31,,78866.1339109683,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:10.550,1777841410.551,289.45,10.55,0.69,0.31,,78866.1339109683,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
21:50:10.761,1777841410.761,289.24,10.76,0.69,0.31,,78866.1339109683,78840.885885,103.6666,0.0000,0.0000,,,,,,,,,,
